Company,Ticker,Name,Title,Equity,Cash,Other,Total,F_Salary,M_Salary,F_Number,M_Number,F_Hourly,M_Hourly,H_Number,S_Number,S_Median,H_Median,Median,CEO_Ratio,S_Gender_Ratio,H_Gender_Ratio
AFLAC INC,AFL,Daniel P. Amos,Chairman and CEO,4800556.0,6950462.0,231365.0,11982383.0,44607.0,55166.0,45.0,40.0,14.38,21.0,20.0,85.0,49575.9411765,35380.0,46871.952381,255.640791376,0.80859587427,0.684761904762
AGCO CORP /DE,AGCO,Martin H. Richenhagen,"Chairman, President and Chief Executive Officer",6224735.0,3421528.0,85340.0,9731603.0,56854.0,73113.0,9.0,36.0,18.27,20.42,9.0,45.0,69861.2,38690.0,64666.0,150.490257632,0.777618207432,0.894711067581
AGILENT TECHNOLOGIES INC,A,Michael R. McMullen,President Chief Executive Officer,4954729.0,1956796.0,225333.0,7136858.0,89195.0,92555.0,42.0,58.0,25.92,23.58,19.0,100.0,91143.8,49500.0,84494.789916,84.4650659182,0.963697261088,1.09923664122
AGL RESOURCES INC,GAS,John W. Somerhalder II,"Chairman, President and Chief Executive Officer",4372269.0,2322069.0,159041.0,6853379.0,70487.0,65820.0,11.0,11.0,,,,22.0,68153.5,,68153.5,100.557990419,1.07090549985,
AIR METHODS CORP,AIRM,Aaron D. Todd,Chief Executive Officer,2485974.0,2220436.0,51984.0,4758394.0,75842.0,65399.0,7.0,23.0,21.07,23.34,24.0,30.0,67835.7,44410.0,57424.2777778,82.8638022826,1.15968134069,0.902742073693
AIR PRODUCTS & CHEMICALS INC /DE/,APD,S. Ghasemi,"Chairman, President and Chief Executive Officer",8452649.0,4320000.0,184385.0,12957034.0,86573.0,93650.0,16.0,41.0,23.5,24.15,23.0,57.0,91663.4736842,47650.0,79009.6,163.993160325,0.924431393486,0.973084886128
AK STEEL HOLDING CORP,AKS,James L. Wainscott,"Chairman of the Board, President and CEO",2237501.0,1950000.0,185412.0,4372913.0,49011.0,71605.0,7.0,30.0,,,,37.0,67330.4594595,,67330.4594595,64.9470244984,0.684463375463,
AKAMAI TECHNOLOGIES INC,AKAM,F. Thomson Leighton,Chief Executive Officer,8499916.0,2.0,0.0,8499918.0,98041.0,114656.0,10.0,58.0,,,,68.0,112212.617647,,112212.617647,75.7483265094,0.855088264025,
ALASKA AIR GROUP INC,ALK,Bradley D. Tilden,President & CEO Alaska,2012602.0,1386256.0,202895.0,3601753.0,62183.0,87800.0,20.0,39.0,17.46,28.35,19.0,59.0,79116.2711864,45810.0,71003.2051282,50.7266255586,0.708234624146,0.615873015873
ALCOA INC,AA,Klaus Kleinfeld,Chairman and Chief Executive Officer,10750419.0,3256020.0,232942.0,14239381.0,,71206.7142857,7.0,21.0,16.77,23.96,9.0,21.0,71206.7142857,40730.0,62063.7,229.431712901,,0.699916527546
ALERE INC,ALR,Ron Zwanziger,Former Chief Executive Officer and President,7221375.0,954808.0,540.0,8176723.0,65549.0,62560.0,20.0,28.0,19.59,16.75,16.0,48.0,63805.4166667,36340.0,56939.0625,143.604805576,1.04777813299,1.16955223881
ALION SCIENCE & TECHNOLOGY CORP,ALON,Bahman Atefi,Chief Executive Officer and President,0.0,1526378.0,121934.0,1648312.0,59863.0,75822.0,17.0,45.0,,,,62.0,71446.1451613,,71446.1451613,23.0706918656,0.789520192029,
ALLERGAN PLC,AGN,Paul M. Bisaro,President and Chief Executive Officer,6011652.0,5276923.0,92497.0,11381072.0,83793.0,80071.0,25.0,22.0,18.34,18.51,15.0,47.0,82050.787234,36850.0,71115.1129032,160.037318868,1.04648374568,0.990815775257
ALLIANCE DATA SYSTEMS CORP,ADS,Edward J. Heffernan,President and Chief Executive Officer,5420550.0,2972152.0,59021.0,8451723.0,64598.0,74782.0,22.0,20.0,15.9,17.44,12.0,42.0,69447.5238095,33340.0,61423.6296296,137.597257781,0.863817496189,0.911697247706
"ALLSCRIPTS HEALTHCARE SOLUTIONS, INC.",MDRX,Paul M. Black,Chief Executive Officer,5104786.0,2125000.0,24912.0,7254698.0,77524.0,84359.0,15.0,38.0,25.0,25.0,5.0,53.0,82424.5660377,50000.0,79629.3448276,91.1058356151,0.918977228274,1.0
ALLSTATE CORP,ALL,Thomas J. Wilson,Chairman and Chief Executive Officer,9199964.0,4079482.0,62131.0,13341577.0,45993.0,57431.0,182.0,206.0,13.38,15.97,163.0,388.0,52065.7525773,29350.0,45345.8475499,294.218274018,0.800839267991,0.837820914214
ALLY FINANCIAL INC,ALLY,Jeffrey J. Brown,Chief Executive Officer,5876445.0,2574417.0,32678.0,8483540.0,61686.0,75835.0,40.0,64.0,19.27,27.54,14.0,104.0,70393.0769231,46810.0,67595.0847458,125.505279443,0.813423880794,0.699709513435
ALMOST FAMILY INC,AFAM,William B. Yarmuth,Chairman of the Board & CEO,785012.0,1027000.0,6708.0,1818720.0,64379.0,91391.0,18.0,8.0,15.34,20.83,30.0,26.0,72690.3846154,36170.0,53125.8928571,34.2341540478,0.704434791172,0.736437830053
ALTRIA GROUP INC,MO,Martin J. Barrington,"Chairman, Chief Executive Officer and President, Altria Group, Inc.",5600071.0,4833333.0,256229.0,10689633.0,82184.0,82847.0,6.0,22.0,15.0,24.49,6.0,28.0,82704.9285714,39490.0,75078.7647059,142.378914223,0.991997296221,0.612494895876
AMAZON.COM INC,AMZN,Brian T. Olsavsky,SVP and Chief Financial Officer,7623373.0,160000.0,3200.0,7786573.0,83155.0,102993.0,466.0,1240.0,14.47,15.12,404.0,1706.0,97574.1793669,29590.0,84557.3033175,92.0863449341,0.80738496791,0.957010582011
AMEDISYS INC,AMED,Ronald A. LaBorde,"Vice Chairman and Chief Financial Officer (PFO), Vice Chairman",3475563.0,644592.0,23641.0,4143796.0,61675.7446809,56270.75,47.0,16.0,,,,63.0,60303.047619,,60303.047619,68.7161953435,1.09605336131,
AMEREN CORP,AEE,Warner L. Baxter,"Chairman, President and Chief Executive Officer, Ameren",4152719.0,2065500.0,104823.0,6323042.0,76277.0,79575.0,11.0,41.0,19.49,31.2,13.0,52.0,78877.3461538,50690.0,73239.8769231,86.3333236707,0.958554822495,0.624679487179
AMERICAN AIRLINES GROUP INC,AAL,W. Douglas Parker,Chairman and Chief Executive Officer,7000000.0,4887884.0,414092.0,12301976.0,54550.1038961,72890.7662338,77.0,154.0,18.7908108108,24.3148648649,111.0,231.0,66777.2121212,43105.6756757,59094.3450292,208.175181465,0.748381540141,0.772811648975
AMERICAN AXLE & MANUFACTURING HOLDINGS INC,AXL,David C. Dauch,Chairman & Chief Executive Officer,5348595.0,6597875.0,67131.0,12013601.0,70871.0,74159.0,8.0,25.0,,,,33.0,73361.9090909,,73361.9090909,163.758020325,0.955662832562,
AMERICAN CAMPUS COMMUNITIES INC,ACC,William C. Bayless Jr.,President and Chief Executive Officer,2500000.0,1725000.0,359364.0,4584364.0,43826.0,50253.0,11.0,20.0,14.79,12.28,17.0,31.0,47972.4516129,27070.0,40569.5,113.000258815,0.872107137882,1.20439739414
AMERICAN ELECTRIC POWER CO INC,AEP,Nicholas K. Akins,Chairman of the Board and Chief Executive Officer,6719981.0,4429900.0,103658.0,11253539.0,64736.0,76216.0,18.0,52.0,16.85,25.87,34.0,70.0,73264.0,42720.0,63278.4615385,177.841539228,0.849375459221,0.651333591032
AMERICAN EXPRESS CO,AXP,K. I. Chenault,Chairman and Chief Executive Officer,18902133.0,2000000.0,785433.0,21687566.0,76401.0,90080.0,123.0,198.0,17.76,32.59,51.0,321.0,84838.5140187,50350.0,80110.25,270.721486951,0.848146092362,0.544952439399
AMERICAN INTERNATIONAL GROUP INC,AIG,Peter D. Hancock,Chief Executive Officer,8231460.0,4157538.0,49218.0,12438216.0,68168.0,84192.0,134.0,160.0,20.04,31.75,22.0,294.0,76888.5442177,51790.0,75141.1772152,165.531290046,0.809673128088,0.631181102362
AMERICAN TOWER CORP,AMT,James D. Taiclet Jr.,"Chairman of the Board, President and Chief Executive Officer",9000023.0,3173500.0,31972.0,12205495.0,73848.0,75108.0,11.0,9.0,21.0,22.41,9.0,20.0,74415.0,43410.0,64792.7586207,188.377455441,0.983224157214,0.937081659973
AMERIPRISE FINANCIAL INC,AMP,James M. Cracchiolo,Chairman and Chief Executive Officer,9471000.0,9173000.0,728300.0,19372300.0,49439.0,53708.0,143.0,150.0,16.32,17.66,96.0,293.0,51624.4948805,33980.0,47270.0694087,409.82169568,0.920514634691,0.924122310306
AMERISOURCEBERGEN CORP,ABC,Steven H. Collis,President and Chief Executive Officer,6699980.0,3637342.0,463504.0,10800826.0,74658.0,69838.0,53.0,60.0,18.81,16.93,34.0,113.0,72098.7079646,35740.0,63689.2108844,169.586431517,1.06901686761,1.11104548139
AMETEK INC,AME,Frank S. Hermance,Chairman of the Board and Chief Executive Officer,3782208.0,2773162.0,397166.0,6952536.0,66657.0,94072.0,9.0,45.0,19.18,20.27,27.0,54.0,89502.8333333,39450.0,72818.5555556,95.477532436,0.708574283528,0.946225949679
AMGEN INC,AMGN,Robert A. Bradway,"Chairman of the Board, Chief Executive Officer and President",10199959.0,5346769.0,550986.0,16097714.0,96423.0,108299.0,79.0,86.0,31.77,30.14,38.0,165.0,102612.915152,61910.0,94993.6502463,169.46094774,0.890340631031,1.05408095554
AMN HEALTHCARE SERVICES INC,AHS,Susan R. Salka,"PEO, President & CEO",1927934.0,2219154.0,46195.0,4193283.0,67538.0,82217.0,20.0,10.0,22.86,31.0,23.0,30.0,72431.0,53860.0,64371.8867925,65.1415269762,0.821460281937,0.737419354839
AMSURG CORP,AMSG,Christopher A. Holden,President and Chief Executive Officer,4280980.0,2700000.0,190800.0,7171780.0,68702.0,72979.0,7.0,10.0,21.09,27.75,23.0,17.0,71217.8823529,48840.0,58350.6,122.908419108,0.941394099673,0.76
ANADARKO PETROLEUM CORP,APC,R. A. Walker,"Chairman, President and Chief Executive Officer",11116389.0,3280500.0,487251.0,14884140.0,66586.0,102748.0,9.0,38.0,,,,47.0,95823.3617021,,95823.3617021,155.328927472,0.648051543582,
ANALOG DEVICES,ADI,Vincent T. Roche,President and Chief Executive Officer,5101659.0,2588446.0,124081.0,7814186.0,79191.0,89782.0,9.0,49.0,20.35,34.3,5.0,58.0,88138.5689655,54650.0,85480.7460317,91.4145741908,0.882036488383,0.593294460641
ANGIE'S LIST INC,ANGI,William S. Oesterle,Chief Executive Officer,2328822.0,602991.0,21405.0,2953218.0,59664.0,63078.0,17.0,28.0,,,,45.0,61788.2666667,,61788.2666667,47.7957735233,0.945876533815,
ANIXTER INTL INC,AXE,Robert J. Eck,President & Chief Executive Officer,2749985.0,1945700.0,15747.0,4711432.0,57456.0,63832.0,20.0,40.0,15.45,16.0,12.0,60.0,61706.6666667,31450.0,56663.8888889,83.1469934801,0.90011279609,0.965625
ANTHEM INC,ANTM,Joseph R. Swedish,"Chair, President and Chief Executive Officer",10400030.0,2966755.0,237896.0,13604681.0,62820.0,78719.0,31.0,9.0,15.44,13.99,30.0,40.0,66397.275,29430.0,50554.1571429,269.111024076,0.798028430239,1.10364546104
AON PLC,AON,Gregory C. Case,President and Chief Executive Officer,9880303.0,3450000.0,661337.0,13991640.0,59031.6281407,74087.7407407,199.0,162.0,19.1,15.66,24.0,361.0,65788.1108033,34760.0,63853.8909091,219.119615121,0.796779973994,1.21966794381
APACHE CORP,APA,John J. Christmann IV,Chief Executive Officer and President,12059310.0,2740651.0,339870.0,15139831.0,121428.0,80390.0,4.0,15.0,,,,19.0,89029.5789474,,89029.5789474,170.053943633,1.5104863789,
APOLLO EDUCATION GROUP INC,APOL,Gregory W. Cappelli,Chief Executive Officer,7365734.0,1000000.0,61448.0,8427182.0,63202.0,78643.0,35.0,28.0,22.15,17.49,17.0,63.0,70064.6666667,39640.0,63599.425,132.504059589,0.803657032412,1.26643796455
APPLE INC,AAPL,Angela Ahrendts,"Senior Vice President, Retail and Online Stores",20000105.0,5000000.0,779124.0,25779229.0,94912.0,121861.0,126.0,406.0,17.85,19.58,244.0,532.0,115478.342105,37430.0,90937.3685567,283.483340338,0.778854596631,0.91164453524
APPLIED INDUSTRIAL TECH INC,AIT,Neil A. Schrimsher,President & Chief Executive Officer,1822328.0,1471572.0,154802.0,3448702.0,48661.0,59573.0,9.0,21.0,20.14,15.6,10.0,30.0,56299.4,35740.0,51159.55,67.410718038,0.816829771877,1.29102564103
APPLIED MATERIALS INC,AMAT,Gary E. Dickerson,President and Chief Executive Officer,10818374.0,3085385.0,4189049.0,18092808.0,85561.0,99013.0,27.0,85.0,22.43,27.76,29.0,112.0,95770.1071429,50190.0,86395.4751773,209.418467378,0.864139052448,0.807997118156
ARAMARK,ARMK,Eric J. Foss,President and Chief Executive Officer,15590085.0,4922625.0,624198.0,21136908.0,53185.0,60160.0,93.0,130.0,11.78,13.43,190.0,223.0,57251.1434978,25210.0,42510.6658596,497.214230185,0.884059175532,0.87714072971
ARCHER-DANIELS-MIDLAND CO,ADM,P. A. Woertz,Chairman,16396904.0,3154200.0,106175.0,19657279.0,52848.0,65692.0,29.0,71.0,16.17,16.69,15.0,100.0,61967.24,32860.0,58170.6434783,337.924386333,0.80448151982,0.968843618933
ARMSTRONG WORLD INDUSTRIES,AWI,Matthew J. Espe,President and Chief Executive Officer,3150000.0,1839770.0,212401.0,5202171.0,65875.0,72327.0,16.0,18.0,,,,34.0,69290.7647059,,69290.7647059,75.0774078202,0.910794032657,
ARROW ELECTRONICS INC,ARW,Michael J. Long,Chief Executive Officer,5249985.0,2750000.0,28455.0,8028440.0,58010.0,75499.0,36.0,40.0,20.26,18.94,33.0,76.0,67214.7368421,39200.0,58733.2110092,136.693360742,0.768354547742,1.0696937698
ARROW FINANCIAL CORP,AROW,Thomas J. Murphy,President and CEO,57827.0,445000.0,12756.0,515583.0,62434.0,59755.0,11.0,22.0,15.22,14.24,17.0,33.0,60648.0,29460.0,50044.08,10.3025772479,1.04483306836,1.06882022472
ARTHUR J GALLAGHER & CO,AJG,Pat Gallagher,"Chairman, President and Chief Executive Officer",1198928.0,3250000.0,1018383.0,5467311.0,55006.0,64341.0,55.0,42.0,20.51,34.25,15.0,97.0,59047.9587629,54760.0,58473.6785714,93.5003771538,0.854913663139,0.598832116788
ASHLAND INC.,ASH,W. A. Wulfsohn,Chairman of the Board and Chief Executive Officer,11188859.0,2131949.0,42560.0,13363368.0,60406.0,84705.0,21.0,40.0,11.5,21.7,14.0,61.0,76339.7704918,33200.0,68287.0133333,195.694134912,0.713133817366,0.529953917051
ASSOCIATED BANC-CORP,ASB,Philip B. Flynn,President and CEO,2499990.0,2110985.0,274609.0,4885584.0,62315.0,65358.0,15.0,25.0,13.27,14.38,16.0,40.0,64216.875,27650.0,53769.1964286,90.8621352839,0.953441047768,0.92280945758
ASSURANT INC,AIZ,Alan B. Colberg,President and Chief Executive Officer,3822671.0,2930800.0,164844.0,6918315.0,62454.0,65171.0,21.0,27.0,15.57,15.62,17.0,48.0,63982.3125,31190.0,55405.8615385,124.866120802,0.958309677617,0.996798975672
AT&T INC,T,Randall L. Stephenson,"Chairman, CEO and President",14623014.0,7241667.0,553095.0,22417776.0,76332.0,86614.0,190.0,469.0,16.72,19.13,294.0,659.0,83649.538695,35850.0,68903.406086,325.350766724,0.881289398942,0.874019864088
ATMOS ENERGY CORP,ATO,Kim R. Cocklin,President and Chief Executive Officer,2055406.0,2146532.0,25598.0,4227536.0,39589.0,71307.0,6.0,19.0,19.32,20.19,11.0,25.0,63694.68,39510.0,56304.9166667,75.0828924058,0.555190934971,0.95690936107
AUTODESK INC,ADSK,Carl Bass,"President, Chief Executive Officer, and Former Interim Chief Financial Officer",8526158.0,2508751.0,5544.0,11040453.0,95530.0,99948.0,34.0,59.0,31.69,34.62,18.0,93.0,98332.8172043,66310.0,93139.9279279,118.53619866,0.955797014448,0.915366839977
AUTOLIV INC,ALV,Jan Carlson,President and CEO,648120.0,1801044.0,628239.0,3077403.0,82194.0,82011.0,10.0,52.0,20.28,17.69,21.0,62.0,82040.516129,37970.0,70890.1445783,43.4108721079,1.00223140798,1.14641040136
AUTOMATIC DATA PROCESSING,ADP,Carlos A. Rodriquez,President and Chief Executive Officer,4057559.0,2971200.0,62738.0,7091497.0,74428.0,82917.0,86.0,109.0,19.65,21.33,65.0,195.0,79173.1333333,40980.0,69624.85,101.852959109,0.897620512078,0.92123769339
AUTONATION INC,AN,Mike Jackson,"Chairman, Chief Executive Officer and President",7074586.0,2949313.0,114905.0,10138804.0,60847.0,60920.0,14.0,45.0,13.01,16.17,68.0,59.0,60902.6779661,29180.0,43917.3070866,230.861240649,0.998801707157,0.804576376005
AUTOZONE INC,AZO,William C. Rhodes III,"Chairman, President & Chief Executive Officer",2653848.0,2507500.0,181256.0,5342604.0,53270.0,48649.0,30.0,106.0,11.32,10.99,362.0,136.0,49668.3382353,22310.0,29781.3534137,179.394264787,1.09498653621,1.03002729754
AVERY DENNISON CORP,AVY,Dean A. Scarborough,Chairman & Chief Executive Officer,5241657.0,3022303.0,296647.0,8560607.0,80810.0,73320.0,18.0,39.0,16.6,21.89,10.0,57.0,75685.2631579,38490.0,70133.7313433,122.061194179,1.10215493726,0.758337140247
AVIS BUDGET GROUP INC,CAR,Ronald L. Nelson,Chairman and CEO,7982712.0,2923454.0,250797.0,11156963.0,50277.0,55524.0,19.0,35.0,11.89,12.89,36.0,54.0,53677.8333333,24780.0,42118.7,264.893337164,0.905500324184,0.922420480993
AVNET INC,AVT,Richard Hamada,Chief Executive Officer,4224294.0,2304240.0,48444.0,6576978.0,71038.0,77546.0,30.0,41.0,17.03,18.8,26.0,71.0,74796.1408451,35830.0,64351.6082474,102.20378603,0.916075619632,0.90585106383
AVON PRODUCTS,AVP,Sheri McCoy,Chief Executive Officer,9777646.0,2893959.0,36608.0,12708213.0,72117.0,76951.0,22.0,11.0,,,,33.0,73728.3333333,,73728.3333333,172.365390962,0.937180803368,
B/E AEROSPACE INC,BEAV,Amin J. Khoury,Executive Chairman of the Board of Directors,5857201.0,3755733.0,6031072.0,15644006.0,60859.0,81597.0,18.0,35.0,,,,53.0,74553.9056604,,74553.9056604,209.834828389,0.745848499332,
BAKER HUGHES INC,BHI,Martin S. Craighead,Principal Executive Officer,9569978.0,3394063.0,552415.0,13516456.0,84714.0,88199.0,39.0,126.0,26.49,21.12,69.0,165.0,87375.2727273,47610.0,75649.6153846,178.671840316,0.960487080352,1.25426136364
BANK OF AMERICA CORP,BAC,Thomas K. Montag,Chief Operating Officer,7997416.0,6800000.0,17500.0,14814916.0,64774.0,77063.0,457.0,639.0,16.53,18.89,611.0,1096.0,71938.8458029,35420.0,58867.3667252,251.666021841,0.840533070345,0.875066172578
BANK OF NEW YORK MELLON CORP,BK,GERALD L. HASSELL,Chairman & Chief Executive Officer,9889738.0,3419200.0,173496.0,13482434.0,61316.0,71655.0,125.0,213.0,16.26,21.85,15.0,338.0,67831.4053254,38110.0,66568.4560907,202.534876003,0.855711394878,0.744164759725
BARD (C.R.) INC,BCR,Timothy M. Ring,Chairman and Chief Executive Officer,7342498.0,2853724.0,975261.0,11171483.0,74103.0,88524.0,32.0,42.0,18.76,20.59,17.0,74.0,82287.8918919,39350.0,74266.5274725,150.424200245,0.837095025078,0.911121903837
BASIC ENERGY SERVICES INC,BAS,T. M. Roe Patterson,President and Chief Executive Officer,2541622.0,665000.0,11800.0,3218422.0,,64000.0,,3.0,,,,3.0,64000.0,,64000.0,50.28784375,,
BAXTER INTERNATIONAL INC,BAX,Robert L. Parkinson Jr.,Chairman and Chief Executive Officer,11466401.0,5172491.0,9858.0,16648750.0,82641.0,83139.0,58.0,95.0,20.85,25.69,26.0,153.0,82950.2156863,46540.0,77661.5810056,214.375625431,0.994010031393,0.811599844297
BB&T CORP,BBT,Kelly S. King,Chairman and Chief Executive Officer,3174518.0,5153013.0,298430.0,8625961.0,49263.0,62895.0,124.0,90.0,13.58,12.65,55.0,214.0,54996.0841121,26230.0,49114.5427509,175.629467707,0.783257810637,1.07351778656
BECTON DICKINSON & CO,BDX,Vincent A. Forlenza,"Chairman, Chief Executive Officer and President",8958125.0,2707080.0,44827.0,11710032.0,76817.0,85714.0,57.0,81.0,23.65,26.78,21.0,138.0,82039.1521739,50430.0,77864.3584906,150.390142897,0.896201320671,0.883121732636
BED BATH & BEYOND INC,BBBY,Steven H. Temares,Chief Executive Officer,13500045.0,3867981.0,22993.0,17391019.0,60574.0,63265.0,49.0,71.0,10.35,11.02,169.0,120.0,62166.175,21370.0,38309.5882353,453.95995627,0.957464632893,0.939201451906
BEMIS CO INC,BMS,William F. Austen,President and Chief Executive Officer,4045180.0,2960000.0,61827.0,7067007.0,51767.0,74425.0,25.0,43.0,,,,68.0,66094.8529412,,66094.8529412,106.922198712,0.695559287874,
BENCHMARK ELECTRONICS INC,BHE,Gayla J. Delly,President and Chief Executive Officer (PEO),3809732.0,1748734.0,56663.0,5615129.0,49210.0,88634.0,5.0,11.0,16.01,22.0,9.0,16.0,76314.0,38010.0,62524.56,89.8067735303,0.555204549044,0.727727272727
BERKLEY (W R) CORP,WRB,William R. Berkley,Executive Chairman of the Board,5405798.0,10246400.0,487213.0,16139411.0,72432.0,73098.0,14.0,21.0,,,,35.0,72831.6,,72831.6,221.599017459,0.99088894361,
BEST BUY CO INC,BBY,Hubert Joly,President and Chief Executive Officer,8640998.0,4253500.0,42796.0,12937294.0,70355.0,68376.0,37.0,101.0,11.24,11.24,509.0,138.0,68906.6014493,22480.0,32382.4281298,399.515871637,1.02894290394,1.0
BIG LOTS INC,BIG,David J. Campisi,Chief Executive Officer and President,5307038.0,3123862.0,196084.0,8626984.0,58288.0,62363.0,22.0,24.0,10.27,11.28,100.0,46.0,60414.0869565,21550.0,33794.8493151,255.275113659,0.934656767635,0.910460992908
BIO RAD LABORATORIES INC,BIO,Norman Schwartz,"President, Chief Executive Officer and Chairman",3105142.0,2178488.0,105925.0,5389555.0,79608.0,95381.0,12.0,18.0,26.84,45.5,6.0,30.0,89071.8,72340.0,86283.1666667,62.4635743936,0.834631635231,0.58989010989
BIOGEN INC,BIIB,George A. Scangos,Chief Executive Officer,13015232.0,2719712.0,954718.0,16689662.0,81951.0,91863.0,11.0,28.0,29.84,22.48,12.0,39.0,89067.3076923,52320.0,80420.8823529,207.528959043,0.892100192678,1.32740213523
BLACKBAUD INC,BLKB,Michael P. Gianoni,President and CEO,2630468.0,2127860.0,31146.0,4789474.0,70457.0,65888.0,24.0,46.0,,,,70.0,67454.5142857,,67454.5142857,71.003016636,1.069344949,
BLACKROCK INC,BLK,Laurence D. Fink,Chairman and Chief Executive Officer,15979630.0,9620000.0,193000.0,25792630.0,83420.0,89090.0,35.0,65.0,,,,100.0,87105.5,,87105.5,296.107938075,0.936356493434,
BLOCK H & R INC,HRB,William C. Cobb,President and Chief Executive Officer,5500053.0,2156561.0,26378.0,7682992.0,39331.0,61136.0,35.0,20.0,11.48,12.07,156.0,55.0,47260.0909091,23550.0,29730.3554502,258.422473719,0.643336168542,0.951118475559
